step,loss,iter_time_sec,global_tokens_per_sec,cuda_memory_allocated_bytes,cuda_peak_memory_allocated_bytes,cuda_peak_memory_reserved_bytes
0,11.2358093262,13.509529,606.387,3467923456,9496608256,11112808448
1,11.0765028000,10.865462,753.949,3468972032,9496608256,11112808448
2,10.9369392395,10.878860,753.020,3468972032,9496608256,11112808448
3,10.8844699860,10.898285,751.678,3468972032,9496608256,11112808448
4,10.7703142166,10.945489,748.436,3468972032,9496608256,11112808448
5,10.6853504181,10.915188,750.514,3468972032,9496608256,11112808448
6,10.3611478806,10.876065,753.214,3468972032,9496608256,11112808448
7,10.1837577820,10.847660,755.186,3468972032,9496608256,11112808448
8,10.0019664764,10.833402,756.180,3468972032,9496608256,11112808448
9,9.9415836334,10.895081,751.899,3468972032,9496608256,11112808448
10,9.4475355148,10.856051,754.602,3468972032,9496608256,11112808448
11,9.0402784348,10.832825,756.220,3468972032,9496608256,11112808448
12,8.7371520996,10.935034,749.152,3468972032,9496608256,11112808448
13,8.6494131088,10.900175,751.548,3468972032,9496608256,11112808448
14,8.2510471344,11.249852,728.187,3468972032,9496608256,11112808448
15,8.3679542542,10.940462,748.780,3468972032,9496608256,11112808448
16,8.4774122238,10.884555,752.626,3468972032,9496608256,11112808448
17,8.1643552780,10.903251,751.336,3468972032,9496608256,11112808448
18,7.8739604950,10.884924,752.601,3468972032,9496608256,11112808448
19,7.8179244995,10.857004,754.536,3468972032,9496608256,11112808448
20,7.9011163712,10.850612,754.980,3468972032,9496608256,11112808448
21,7.6991834641,11.149630,734.733,3468972032,9496608256,11112808448
22,7.7811965942,10.854522,754.709,3468972032,9496608256,11112808448
23,7.3453788757,10.870256,753.616,3468972032,9496608256,11112808448
24,7.5723438263,10.658968,768.555,3468972032,9496608256,11112808448
25,7.3525648117,10.909531,750.903,3468972032,9496608256,11112808448
26,7.4786343575,10.921611,750.073,3468972032,9496608256,11112808448
27,7.4077529907,10.883823,752.677,3468972032,9496608256,11112808448
28,7.0045437813,10.935321,749.132,3468972032,9496608256,11112808448
29,6.8387136459,10.865858,753.921,3468972032,9496608256,11112808448
30,7.3682060242,10.796390,758.772,3468972032,9496608256,11112808448
31,7.1974754333,10.833833,756.150,3468972032,9496608256,11112808448
32,7.5562958717,10.904304,751.263,3468972032,9496608256,11112808448
33,7.2067899704,10.924637,749.865,3468972032,9496608256,11112808448
34,7.1635746956,10.880895,752.879,3468972032,9496608256,11112808448
35,7.0214333534,10.855071,754.670,3468972032,9496608256,11112808448
36,7.3563857079,10.851487,754.920,3468972032,9496608256,11112808448
37,7.1209802628,10.874244,753.340,3468972032,9496608256,11112808448
38,7.0774383545,10.885061,752.591,3468972032,9496608256,11112808448
39,7.0599455833,10.898607,751.656,3468972032,9496608256,11112808448
40,7.1960387230,10.903454,751.322,3468972032,9496608256,11112808448
41,7.1959357262,10.865988,753.912,3468972032,9496608256,11112808448
42,7.5381064415,10.915482,750.494,3468972032,9496608256,11112808448
43,7.0622115135,10.889309,752.298,3468972032,9496608256,11112808448
44,7.3469643593,10.884376,752.638,3468972032,9496608256,11112808448
45,6.9923105240,10.917150,750.379,3468972032,9496608256,11112808448
46,7.2969970703,10.905440,751.185,3468972032,9496608256,11112808448
47,7.2617125511,10.905052,751.211,3468972032,9496608256,11112808448
48,7.1964387894,10.874664,753.311,3468972032,9496608256,11112808448
49,6.9677934647,10.895811,751.849,3468972032,9496608256,11112808448
50,7.2122764587,10.811020,757.745,3468972032,9483323392,11112808448
51,7.1811313629,10.902565,751.383,3468972032,9483323392,11112808448
52,7.2879838943,10.868814,753.716,3468972032,9483323392,11112808448
53,7.0802245140,10.927482,749.670,3468972032,9483323392,11112808448
54,7.0812993050,10.902309,751.400,3468972032,9483323392,11112808448
55,7.0843729973,10.892647,752.067,3468972032,9483323392,11112808448
56,7.0477705002,11.182130,732.597,3468972032,9483323392,11112808448
57,6.9635348320,10.923104,749.970,3468972032,9483323392,11112808448
58,6.7764673233,10.805571,758.127,3468972032,9483323392,11112808448
59,6.9648208618,10.889012,752.318,3468972032,9483323392,11112808448
60,7.0049366951,10.823594,756.865,3468972032,9483323392,11112808448
61,6.9319286346,10.914063,750.591,3468972032,9483323392,11112808448
62,6.9603090286,10.896197,751.822,3468972032,9483323392,11112808448
63,6.8799018860,10.906715,751.097,3468972032,9483323392,11112808448
64,7.0548667908,10.911537,750.765,3468972032,9483323392,11112808448
65,6.8793592453,10.852821,754.827,3468972032,9483323392,11112808448
66,7.0321798325,10.905910,751.152,3468972032,9483323392,11112808448
67,6.8522038460,10.914890,750.534,3468972032,9483323392,11112808448
68,7.0670537949,10.951562,748.021,3468972032,9483323392,11112808448
69,6.6725559235,10.873994,753.357,3468972032,9483323392,11112808448
70,6.8058195114,10.766300,760.893,3468972032,9483323392,11112808448
71,6.7972564697,10.956197,747.705,3468972032,9483323392,11112808448
72,6.8521242142,10.913690,750.617,3468972032,9483323392,11112808448
73,6.8408508301,10.892549,752.074,3468972032,9483323392,11112808448
74,6.9026908875,10.853662,754.768,3468972032,9483323392,11112808448
75,6.8517279625,10.936302,749.065,3468972032,9483323392,11112808448
76,7.5624799728,10.880073,752.936,3468972032,9483323392,11112808448
77,6.8431525230,10.883607,752.692,3468972032,9483323392,11112808448
78,6.9168658257,10.529106,778.034,3468972032,9483323392,11112808448
79,6.8808412552,10.899199,751.615,3468972032,9483323392,11112808448
80,7.1372547150,10.877217,753.134,3468972032,9483323392,11112808448
81,6.7348566055,10.879725,752.960,3468972032,9483323392,11112808448
82,6.9342031479,10.869105,753.696,3468972032,9483323392,11112808448
83,6.5248303413,10.918511,750.285,3468972032,9483323392,11112808448
84,6.7815446854,10.967707,746.920,3468972032,9483323392,11112808448
85,6.7812118530,10.896550,751.798,3468972032,9483323392,11112808448
86,6.6860570908,10.892612,752.069,3468972032,9483323392,11112808448
87,6.7560448647,10.881705,752.823,3468972032,9483323392,11112808448
88,6.7273845673,10.931017,749.427,3468972032,9483323392,11112808448
89,6.9758424759,10.875790,753.233,3468972032,9483323392,11112808448
90,6.7867469788,10.869470,753.671,3468972032,9483323392,11112808448
91,6.8531646729,11.352496,721.603,3468972032,9483323392,11112808448
92,6.5954475403,10.900758,751.507,3468972032,9483323392,11112808448
93,6.5581874847,10.883773,752.680,3468972032,9483323392,11112808448
94,6.9997711182,10.887247,752.440,3468972032,9483323392,11112808448
95,7.0854406357,10.912818,750.677,3468972032,9483323392,11112808448
96,7.2278175354,10.912408,750.705,3468972032,9483323392,11112808448
97,6.9572253227,10.891504,752.146,3468972032,9483323392,11112808448
98,6.7249846458,10.879151,753.000,3468972032,9483323392,11112808448
99,6.6997489929,10.932283,749.340,3468972032,9483323392,11112808448
100,6.8241100311,10.908242,750.992,3468972032,9483323392,11112808448
101,6.8165550232,10.933001,749.291,3468972032,9483323392,11112808448
102,6.8257694244,10.880727,752.891,3468972032,9483323392,11112808448
103,6.6442317963,10.897653,751.722,3468972032,9483323392,11112808448
104,6.3687677383,10.899334,751.606,3468972032,9483323392,11112808448
105,7.0260758400,10.921104,750.107,3468972032,9483323392,11112808448
106,6.6081428528,10.900204,751.546,3468972032,9483323392,11112808448
107,6.6302289963,10.923701,749.929,3468972032,9483323392,11112808448
108,6.5080533028,10.945210,748.455,3468972032,9483323392,11112808448
109,6.7210674286,10.951731,748.010,3468972032,9483323392,11112808448
110,6.6279516220,10.900546,751.522,3468972032,9483323392,11112808448
111,6.7669186592,10.945024,748.468,3468972032,9483323392,11112808448
112,6.3612928391,10.915653,750.482,3468972032,9483323392,11112808448
113,6.6280717850,10.880122,752.933,3468972032,9483323392,11112808448
114,7.0759592056,10.889684,752.272,3468972032,9483323392,11112808448
115,7.0261392593,10.900867,751.500,3468972032,9483323392,11112808448
116,6.9195566177,10.903382,751.326,3468972032,9483323392,11112808448
117,6.8287267685,10.921654,750.070,3468972032,9483323392,11112808448
118,6.5632085800,10.663542,768.225,3468972032,9483323392,11112808448
119,6.6159257889,10.967784,746.915,3468972032,9483323392,11112808448
120,6.7241830826,10.904818,751.228,3468972032,9483323392,11112808448
121,6.9193353653,10.864603,754.008,3468972032,9483323392,11112808448
122,6.8971204758,10.867569,753.802,3468972032,9483323392,11112808448
123,6.7130546570,10.875660,753.242,3468972032,9483323392,11112808448
124,6.3451662064,10.873384,753.399,3468972032,9483323392,11112808448
125,6.7896046638,10.874479,753.323,3468972032,9483323392,11112808448
126,6.7290935516,10.853614,754.772,3468972032,9483323392,11112808448
127,6.6638712883,10.865205,753.966,3468972032,9483323392,11112808448
128,6.8497314453,10.922173,750.034,3468972032,9483323392,11112808448
129,6.6935586929,10.833106,756.200,3468972032,9483323392,11112808448
130,6.3553347588,10.949482,748.163,3468972032,9483323392,11112808448
131,6.6792068481,10.815748,757.414,3468972032,9483323392,11112808448
132,6.7883901596,10.859306,754.376,3468972032,9483323392,11112808448
133,6.5404772758,10.931806,749.373,3468972032,9483323392,11112808448
134,6.7013473511,11.401208,718.520,3468972032,9483323392,11112808448
135,6.8104562759,10.862483,754.155,3468972032,9483323392,11112808448
136,6.3971624374,10.875846,753.229,3468972032,9483323392,11112808448
137,6.3732752800,10.883635,752.690,3468972032,9483323392,11112808448
138,6.5179624557,10.861184,754.246,3468972032,9483323392,11112808448
139,6.7916269302,10.915023,750.525,3468972032,9483323392,11112808448
140,6.6140489578,10.843926,755.446,3468972032,9483323392,11112808448
141,6.7309355736,10.924373,749.883,3468972032,9483323392,11112808448
142,6.5584578514,10.785158,759.562,3468972032,9483323392,11112808448
143,6.6289453506,10.905677,751.168,3468972032,9483323392,11112808448
144,6.3043208122,10.857518,754.500,3468972032,9483323392,11112808448
145,6.7451162338,10.837133,755.919,3468972032,9483323392,11112808448
146,6.6762104034,10.880862,752.882,3468972032,9483323392,11112808448
147,6.5808339119,10.888230,752.372,3468972032,9483323392,11112808448
148,6.4083638191,10.907970,751.010,3468972032,9483323392,11112808448
149,6.3104867935,10.915545,750.489,3468972032,9483323392,11112808448
150,6.1193609238,10.912813,750.677,3468972032,9483323392,11112808448
151,6.4349470139,10.886833,752.469,3468972032,9483323392,11112808448
152,6.4985704422,10.928141,749.624,3468972032,9483323392,11112808448
153,7.0054192543,10.912686,750.686,3468972032,9483323392,11112808448
154,6.6114993095,10.893071,752.038,3468972032,9483323392,11112808448
155,6.7409491539,10.924454,749.877,3468972032,9483323392,11112808448
156,6.6207823753,10.941559,748.705,3468972032,9483323392,11112808448
157,6.6957139969,10.906521,751.110,3468972032,9483323392,11112808448
158,6.8432564735,10.888055,752.384,3468972032,9483323392,11112808448
159,6.3927245140,10.856115,754.598,3468972032,9483323392,11112808448
160,6.4029827118,10.910067,750.866,3468972032,9483323392,11112808448
161,6.4849281311,10.877100,753.142,3468972032,9483323392,11112808448
162,6.4149961472,10.965849,747.047,3468972032,9483323392,11112808448
163,6.6921052933,10.891294,752.160,3468972032,9483323392,11112808448
164,6.3449392319,10.928017,749.633,3468972032,9483323392,11112808448
165,6.6333193779,10.911129,750.793,3468972032,9483323392,11112808448
166,6.2895326614,10.564048,775.460,3468972032,9483323392,11112808448
167,6.5429000854,10.880157,752.930,3468972032,9483323392,11112808448
168,6.4377517700,10.747633,762.214,3468972032,9483323392,11112808448
169,6.4182014465,10.678462,767.152,3468972032,9483323392,11112808448
170,6.3817811012,10.887776,752.403,3468972032,9483323392,11112808448
171,6.2631130219,10.868868,753.712,3468972032,9483323392,11112808448
172,5.9300870895,10.863379,754.093,3468972032,9483323392,11112808448
173,6.4962134361,10.938625,748.906,3468972032,9483323392,11112808448
174,6.4833507538,10.901157,751.480,3468972032,9483323392,11112808448
175,6.3819255829,10.888745,752.336,3468972032,9483323392,11112808448
176,6.8405413628,10.898013,751.697,3468972032,9483323392,11112808448
177,6.5984344482,10.862660,754.143,3468972032,9483323392,11112808448
178,6.5181207657,10.942532,748.638,3468972032,9483323392,11112808448
179,6.6916661263,10.929917,749.502,3468972032,9483323392,11112808448
180,6.4365949631,10.924767,749.856,3468972032,9483323392,11112808448
181,6.3088521957,10.933571,749.252,3468972032,9483323392,11112808448
182,6.2596521378,10.920807,750.128,3468972032,9483323392,11112808448
183,6.3144726753,10.902205,751.408,3468972032,9483323392,11112808448
184,6.3555107117,10.609796,772.117,3468972032,9483323392,11112808448
185,6.5643911362,10.733751,763.200,3468972032,9483323392,11112808448
186,6.3274168968,10.778575,760.026,3468972032,9483323392,11112808448
187,6.3601937294,10.857697,754.488,3468972032,9483323392,11112808448
188,6.4860897064,10.911927,750.738,3468972032,9483323392,11112808448
189,6.4608840942,10.899371,751.603,3468972032,9483323392,11112808448
190,6.2450771332,10.915069,750.522,3468972032,9483323392,11112808448
191,6.2708449364,10.931370,749.403,3468972032,9483323392,11112808448
192,6.1938667297,10.916884,750.397,3468972032,9483323392,11112808448
193,6.5516500473,10.869658,753.658,3468972032,9483323392,11112808448
194,6.4142804146,10.867684,753.794,3468972032,9483323392,11112808448
195,6.6121892929,10.790661,759.175,3468972032,9483323392,11112808448
196,6.4699940681,10.909780,750.886,3468972032,9483323392,11112808448
197,6.5866990089,10.844687,755.393,3468972032,9483323392,11112808448
198,6.6047811508,10.859567,754.358,3468972032,9483323392,11112808448
199,6.3593301773,11.251777,728.063,3468972032,9483323392,11112808448
200,6.6381721497,10.875630,753.244,3468972032,9483323392,11112808448
201,6.6165218353,10.868909,753.710,3468972032,9483323392,11112808448
202,6.4683771133,10.957638,747.606,3468972032,9483323392,11112808448
203,6.6370601654,10.901639,751.447,3468972032,9483323392,11112808448
204,5.9936919212,10.932272,749.341,3468972032,9483323392,11112808448
205,6.0671596527,10.877096,753.142,3468972032,9483323392,11112808448
206,6.6510715485,10.896404,751.808,3468972032,9483323392,11112808448
207,6.5582132339,10.955549,747.749,3468972032,9483323392,11112808448
208,6.0068001747,10.905457,751.184,3468972032,9483323392,11112808448
209,6.0794825554,10.887871,752.397,3468972032,9483323392,11112808448
210,6.2537355423,10.938221,748.933,3468972032,9483323392,11112808448
211,6.4970102310,11.168074,733.520,3468972032,9483323392,11112808448
212,6.2535963058,10.895183,751.892,3468972032,9483323392,11112808448
213,6.3040122986,10.933263,749.273,3468972032,9483323392,11112808448
214,6.4086799622,10.623002,771.157,3468972032,9483323392,11112808448
215,6.3475303650,10.972337,746.605,3468972032,9483323392,11112808448
216,6.1203727722,10.855281,754.656,3468972032,9483323392,11112808448
217,6.2149467468,10.852492,754.850,3468972032,9483323392,11112808448
