step,loss,iter_time_sec,global_tokens_per_sec,cuda_memory_allocated_bytes,cuda_peak_memory_allocated_bytes,cuda_peak_memory_reserved_bytes
0,11.2358531952,7.082049,1156.727,5269173248,11782422016,14839447552
1,11.0765075684,5.139327,1593.983,5269173248,11782422016,14839447552
2,10.9363594055,5.249615,1560.495,5269173248,11782422016,14839447552
3,10.8835086823,5.319066,1540.120,5269173248,11782422016,14839447552
4,10.7701072693,5.226494,1567.399,5269173248,11782422016,14839447552
5,10.6854267120,5.171285,1584.132,5269173248,11782422016,14839447552
6,10.3606958389,5.332079,1536.361,5269173248,11782422016,14839447552
7,10.1838178635,5.207739,1573.044,5269173248,11782422016,14839447552
8,10.0018024445,5.298881,1545.987,5269173248,11782422016,14839447552
9,9.9416980743,5.217221,1570.185,5269173248,11782422016,14839447552
10,9.4470005035,5.374002,1524.376,5269173248,11782422016,14839447552
11,9.0405244827,5.242059,1562.745,5269173248,11782422016,14839447552
12,8.7372579575,5.187871,1579.068,5269173248,11782422016,14839447552
13,8.6487998962,5.195014,1576.896,5269173248,11782422016,14839447552
14,8.2513208389,5.243701,1562.255,5269173248,11782422016,14839447552
15,8.3674812317,5.244426,1562.039,5269173248,11782422016,14839447552
16,8.4780302048,5.279145,1551.766,5269173248,11782422016,14839447552
17,8.1646327972,5.229195,1566.589,5269173248,11782422016,14839447552
18,7.8744673729,5.263056,1556.510,5269173248,11782422016,14839447552
19,7.8179450035,5.335551,1535.362,5269173248,11782422016,14839447552
20,7.9015369415,5.350426,1531.093,5269173248,11782422016,14839447552
21,7.6999711990,5.329317,1537.158,5269173248,11782422016,14839447552
22,7.7815089226,5.245153,1561.823,5269173248,11782422016,14839447552
23,7.3464403152,5.251194,1560.026,5269173248,11782422016,14839447552
24,7.5726079941,5.279193,1551.752,5269173248,11782422016,14839447552
25,7.3527460098,5.220120,1569.312,5269173248,11782422016,14839447552
26,7.4788818359,5.264959,1555.948,5269173248,11782422016,14839447552
27,7.4079275131,5.254149,1559.149,5269173248,11782422016,14839447552
28,7.0056567192,5.236713,1564.340,5269173248,11782422016,14839447552
29,6.8385753632,5.430679,1508.467,5269173248,11782422016,14839447552
30,7.3683090210,5.203263,1574.397,5269173248,11782422016,14839447552
31,7.1972756386,5.252078,1559.764,5269173248,11782422016,14839447552
32,7.5564322472,5.261176,1557.066,5269173248,11782422016,14839447552
33,7.2068481445,5.287112,1549.428,5269173248,11782422016,14839447552
34,7.1654043198,5.316422,1540.886,5269173248,11782422016,14839447552
35,7.0214352608,5.249276,1560.596,5269173248,11782422016,14839447552
36,7.3567361832,5.010279,1635.039,5269173248,11782422016,14839447552
37,7.1211438179,5.038142,1625.996,5269173248,11782422016,14839447552
38,7.0774135590,5.648234,1450.365,5269173248,11782422016,14839447552
39,7.0605530739,5.273954,1553.294,5269173248,11782422016,14839447552
40,7.1948900223,5.363968,1527.227,5269173248,11782422016,14839447552
41,7.1950778961,5.186360,1579.528,5269173248,11782422016,14839447552
42,7.5377426147,5.336982,1534.950,5269173248,11782422016,14839447552
43,7.0626950264,5.248645,1560.784,5269173248,11782422016,14839447552
44,7.3468008041,5.200952,1575.096,5269173248,11782422016,14839447552
45,6.9921765327,5.230041,1566.336,5269173248,11782422016,14839447552
46,7.2968654633,5.321480,1539.421,5269173248,11782422016,14839447552
47,7.2632179260,5.396304,1518.076,5269173248,11782422016,14839447552
48,7.1981678009,5.360690,1528.162,5269173248,11782422016,14839447552
49,6.9673528671,5.178071,1582.056,5269173248,11782422016,14839447552
50,7.2132730484,5.250268,1560.301,5269173248,11772899328,14839447552
51,7.1818580627,5.238333,1563.856,5269173248,11777601536,14839447552
52,7.2879333496,5.333328,1536.001,5269173248,11777601536,14839447552
53,7.0796427727,5.202562,1574.609,5269173248,11777601536,14839447552
54,7.0814228058,5.389528,1519.985,5269173248,11777601536,14839447552
55,7.0835580826,5.188304,1578.936,5269173248,11777601536,14839447552
56,7.0472130775,5.328146,1537.495,5269173248,11777601536,14839447552
57,6.9650101662,5.248067,1560.956,5269173248,11777601536,14839447552
58,6.7773456573,5.312210,1542.108,5269173248,11777601536,14839447552
59,6.9667277336,5.243223,1562.398,5269173248,11777601536,14839447552
60,7.0061302185,5.276164,1552.643,5269173248,11777601536,14839447552
61,6.9319276810,5.157160,1588.471,5269173248,11777601536,14839447552
62,6.9593181610,5.276106,1552.660,5269173248,11777601536,14839447552
63,6.8788228035,5.233459,1565.313,5269173248,11777601536,14839447552
64,7.0562453270,5.323411,1538.863,5269173248,11777601536,14839447552
65,6.8796172142,5.368606,1525.908,5269173248,11777601536,14839447552
66,7.0326848030,5.205056,1573.854,5269173248,11777601536,14839447552
67,6.8553919792,5.263466,1556.389,5269173248,11777601536,14839447552
68,7.0658216476,5.362283,1527.708,5269173248,11777601536,14839447552
69,6.6730918884,5.292269,1547.918,5269173248,11777601536,14839447552
70,6.8058223724,5.247613,1561.091,5269173248,11777601536,14839447552
71,6.7968525887,5.253784,1559.257,5269173248,11777601536,14839447552
72,6.8506689072,5.339951,1534.097,5269173248,11777601536,14839447552
73,6.8405685425,5.274947,1553.001,5269173248,11777601536,14839447552
74,6.9039416313,5.252864,1559.530,5269173248,11777601536,14839447552
