step,loss,iter_time_sec,global_tokens_per_sec,cuda_memory_allocated_bytes,cuda_peak_memory_allocated_bytes,cuda_peak_memory_reserved_bytes
0,11.2358798981,347.369476,23.583,5269173248,13535760896,16703815680
1,11.0759382248,3.955498,2071.042,5269173248,13535760896,16703815680
2,10.9359226227,4.024214,2035.677,5269173248,13535760896,16703815680
3,10.8814077377,3.958348,2069.550,5269173248,13535760896,16703815680
4,10.7714710236,4.023760,2035.907,5269173248,13535760896,16703815680
5,10.6863431931,3.991451,2052.387,5269173248,13535760896,16703815680
6,10.3630027771,4.093367,2001.286,5269173248,13535760896,16703815680
7,10.1842765808,3.951903,2072.925,5269173248,13535760896,16703815680
8,9.9999971390,4.038069,2028.693,5269173248,13535760896,16703815680
9,9.9415931702,4.031481,2032.008,5269173248,13535760896,16703815680
10,9.4467649460,3.979217,2058.696,5269173248,13535760896,16703815680
11,9.0390338898,3.934331,2082.184,5269173248,13535760896,16703815680
12,8.7382783890,4.033210,2031.137,5269173248,13535760896,16703815680
13,8.6494493484,3.942371,2077.937,5269173248,13535760896,16703815680
14,8.2510814667,3.856287,2124.323,5269173248,13535760896,16703815680
15,8.3678522110,3.968884,2064.057,5269173248,13535760896,16703815680
16,8.4778833389,3.950125,2073.859,5269173248,13535760896,16703815680
17,8.1649312973,3.971761,2062.561,5269173248,13535760896,16703815680
18,7.8729715347,4.044152,2025.641,5269173248,13535760896,16703815680
19,7.8172736168,3.943709,2077.233,5269173248,13535760896,16703815680
20,7.9019412994,3.991266,2052.482,5269173248,13535760896,16703815680
21,7.6990075111,4.030152,2032.678,5269173248,13535760896,16703815680
22,7.7819681168,4.018791,2038.424,5269173248,13535760896,16703815680
23,7.3459281921,3.995885,2050.109,5269173248,13535760896,16703815680
24,7.5719714165,3.958091,2069.684,5269173248,13535760896,16703815680
25,7.3532562256,4.019310,2038.161,5269173248,13535760896,16703815680
26,7.4788880348,4.071040,2012.262,5269173248,13535760896,16703815680
27,7.4075407982,4.008689,2043.561,5269173248,13535760896,16703815680
28,7.0048456192,4.049928,2022.752,5269173248,13535760896,16703815680
29,6.8387327194,3.955390,2071.098,5269173248,13535760896,16703815680
30,7.3681097031,4.055306,2020.070,5269173248,13535760896,16703815680
31,7.1978197098,3.972669,2062.090,5269173248,13535760896,16703815680
32,7.5564298630,3.946565,2075.729,5269173248,13535760896,16703815680
33,7.2069153786,3.782874,2165.549,5269173248,13535760896,16703815680
34,7.1643838882,3.971178,2062.864,5269173248,13535760896,16703815680
35,7.0209712982,4.002181,2046.884,5269173248,13535760896,16703815680
36,7.3563714027,4.002669,2046.634,5269173248,13535760896,16703815680
37,7.1211338043,3.963004,2067.119,5269173248,13535760896,16703815680
38,7.0781555176,3.922616,2088.402,5269173248,13535760896,16703815680
39,7.0598750114,4.076625,2009.505,5269173248,13535760896,16703815680
40,7.1957683563,4.053027,2021.205,5269173248,13535760896,16703815680
41,7.1956567764,3.992246,2051.978,5269173248,13535760896,16703815680
42,7.5387215614,4.023631,2035.972,5269173248,13535760896,16703815680
43,7.0625171661,3.981352,2057.592,5269173248,13535760896,16703815680
44,7.3469657898,4.052048,2021.694,5269173248,13535760896,16703815680
45,6.9921445847,3.990585,2052.832,5269173248,13535760896,16703815680
46,7.2965102196,4.026874,2034.333,5269173248,13535760896,16703815680
47,7.2624502182,4.048078,2023.677,5269173248,13535760896,16703815680
48,7.1979560852,4.075599,2010.011,5269173248,13535760896,16703815680
49,6.9677019119,3.983212,2056.632,5269173248,13535760896,16703815680
50,7.2125549316,4.015027,2040.335,5269173248,13526569984,16703815680
51,7.1801333427,3.988093,2054.114,5269173248,13528142848,16703815680
52,7.2876853943,4.044473,2025.480,5269173248,13528671232,16703815680
53,7.0796756744,3.988520,2053.895,5269173248,13530108928,16703815680
54,7.0813512802,4.048942,2023.245,5269173248,13530108928,16703815680
55,7.0834083557,4.026448,2034.547,5269173248,13530108928,16703815680
56,7.0465745926,4.060979,2017.247,5269173248,13530108928,16703815680
57,6.9646472931,4.010495,2042.641,5269173248,13530108928,16703815680
58,6.7780284882,4.079420,2008.129,5269173248,13530108928,16703815680
59,6.9659404755,3.955948,2070.806,5269173248,13530108928,16703815680
60,7.0064888000,4.045271,2025.080,5269173248,13530108928,16703815680
61,6.9313468933,4.015174,2040.260,5269173248,13530108928,16703815680
62,6.9611330032,4.027122,2034.207,5269173248,13530108928,16703815680
63,6.8796272278,3.895450,2102.966,5269173248,13530108928,16703815680
64,7.0562028885,3.703507,2211.957,5269173248,13530108928,16703815680
65,6.8793225288,3.889752,2106.047,5269173248,13530108928,16703815680
66,7.0344982147,4.062733,2016.377,5269173248,13530108928,16703815680
67,6.8566703796,3.991039,2052.598,5269173248,13530108928,16703815680
68,7.0662631989,4.026316,2034.614,5269173248,13530108928,16703815680
69,6.6734256744,3.951535,2073.119,5269173248,13530108928,16703815680
70,6.8048057556,4.080449,2007.622,5269173248,13530108928,16703815680
71,6.7983565331,3.956193,2070.678,5269173248,13530108928,16703815680
72,6.8509759903,3.974578,2061.099,5269173248,13530108928,16703815680
73,6.8399896622,3.896963,2102.150,5269173248,13530108928,16703815680
74,6.9023714066,3.809096,2150.642,5269173248,13530108928,16703815680
75,6.8528332710,4.262604,1921.830,5269173248,13530108928,16703815680
76,7.5622320175,4.518902,1812.830,5269173248,13530108928,16703815680
77,6.8419852257,3.960805,2068.266,5269173248,13530108928,16703815680
78,6.9177017212,4.055666,2019.890,5269173248,13530108928,16703815680
79,6.8809413910,3.952589,2072.565,5269173248,13530108928,16703815680
80,7.1358261108,4.076591,2009.522,5269173248,13530108928,16703815680
81,6.7334127426,3.968875,2064.061,5269173248,13530108928,16703815680
82,6.9362659454,4.050662,2022.386,5269173248,13530108928,16703815680
83,6.5272951126,3.983500,2056.483,5269173248,13530108928,16703815680
84,6.7813339233,4.051688,2021.873,5269173248,13530108928,16703815680
85,6.7809410095,4.050629,2022.402,5269173248,13530108928,16703815680
86,6.6875820160,4.039252,2028.098,5269173248,13530108928,16703815680
87,6.7563095093,3.966919,2065.079,5269173248,13530108928,16703815680
88,6.7258491516,4.045806,2024.813,5269173248,13530108928,16703815680
89,6.9764881134,3.998984,2048.520,5269173248,13530108928,16703815680
90,6.7872848511,4.009119,2043.342,5269173248,13530108928,16703815680
91,6.8533511162,3.931226,2083.829,5269173248,13530108928,16703815680
92,6.5939798355,4.036096,2029.684,5269173248,13530108928,16703815680
93,6.5568070412,4.028602,2033.460,5269173248,13530108928,16703815680
94,7.0024328232,4.039951,2027.747,5269173248,13530108928,16703815680
95,7.0842790604,4.003115,2046.407,5269173248,13530108928,16703815680
96,7.2260880470,4.050920,2022.256,5269173248,13530108928,16703815680
97,6.9531369209,4.042632,2026.403,5269173248,13530108928,16703815680
98,6.7237434387,4.026501,2034.521,5269173248,13530108928,16703815680
99,6.7001094818,3.949505,2074.184,5269173248,13530108928,16703815680
100,6.8242411613,4.093070,2001.432,5269173248,13530108928,16703815680
101,6.8174953461,4.039111,2028.169,5269173248,13530108928,16703815680
102,6.8260493279,4.046147,2024.642,5269173248,13530108928,16703815680
103,6.6442580223,3.979407,2058.598,5269173248,13530108928,16703815680
104,6.3682174683,4.053144,2021.147,5269173248,13530108928,16703815680
105,7.0263547897,3.980443,2058.063,5269173248,13530108928,16703815680
106,6.6109929085,3.994404,2050.869,5269173248,13530108928,16703815680
107,6.6318168640,3.979335,2058.635,5269173248,13530108928,16703815680
108,6.5105772018,4.078300,2008.680,5269173248,13530108928,16703815680
109,6.7205467224,3.998827,2048.601,5269173248,13530108928,16703815680
